t,payload.p_x,payload.p_y,payload.p_z,payload.q_w,payload.q_x,payload.q_y,payload.q_z,payload.v_x,payload.v_y,payload.v_z,payload.w_x,payload.w_y,payload.w_z,payload.F_x,payload.F_y,payload.F_z,payload.T_x,payload.T_y,payload.T_z,canopy.p_x,canopy.p_y,canopy.p_z,canopy.q_w,canopy.q_x,canopy.q_y,canopy.q_z,canopy.v_x,canopy.v_y,canopy.v_z,canopy.w_x,canopy.w_y,canopy.w_z,canopy.F_x,canopy.F_y,canopy.F_z,canopy.T_x,canopy.T_y,canopy.T_z
0.49000000000000027,0.0,0.0,198.79933498647304,1.0,0.0,0.0,0.0,0.0,0.0,-4.798512185353074,0.0,0.0,0.0,0.0,0.0,-97.49090605242031,0.0,0.0,0.0,0.0,0.0,203.79933498647304,1.0,0.0,0.0,0.0,0.0,0.0,-4.798512185353074,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.5000000000000002,0.0,0.0,198.75037415333938,1.0,0.0,0.0,0.0,0.0,0.0,-4.89608331336536,0.0,0.0,0.0,0.0,0.0,-97.46535361474345,0.0,0.0,0.0,0.0,0.0,203.75037415333938,1.0,0.0,0.0,0.0,0.0,0.0,-4.89608331336536,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.5100000000000002,0.0,0.0,198.7004378261899,1.0,0.0,0.0,0.0,0.0,0.0,-4.993632714947192,0.0,0.0,0.0,0.0,0.0,-97.43928189819789,0.0,0.0,0.0,0.0,0.0,203.7004378261899,1.0,0.0,0.0,0.0,0.0,0.0,-4.993632714947192,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.5200000000000002,0.0,0.0,198.64952622661238,1.0,0.0,0.0,0.0,0.0,0.0,-5.091159957751771,0.0,0.0,0.0,0.0,0.0,-97.41269136549502,0.0,0.0,0.0,0.0,0.0,203.64952622661238,1.0,0.0,0.0,0.0,0.0,0.0,-5.091159957751771,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.5300000000000002,0.0,0.0,198.5976395805141,1.0,0.0,0.0,0.0,0.0,0.0,-5.188664609825495,0.0,0.0,0.0,0.0,0.0,-97.38558248846888,0.0,0.0,0.0,0.0,0.0,203.5976395805141,1.0,0.0,0.0,0.0,0.0,0.0,-5.188664609825495,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.5400000000000003,0.0,0.0,198.54477811811796,1.0,0.0,0.0,0.0,0.0,0.0,-5.286146239615544,0.0,0.0,0.0,0.0,0.0,-97.3579557480584,0.0,0.0,0.0,0.0,0.0,203.54477811811796,1.0,0.0,0.0,0.0,0.0,0.0,-5.286146239615544,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.5500000000000003,0.0,0.0,198.4909420739582,1.0,0.0,0.0,0.0,0.0,0.0,-5.383604415977452,0.0,0.0,0.0,0.0,0.0,-97.3298116342893,0.0,0.0,0.0,0.0,0.0,203.4909420739582,1.0,0.0,0.0,0.0,0.0,0.0,-5.383604415977452,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.5600000000000003,0.0,0.0,198.43613168687637,1.0,0.0,0.0,0.0,0.0,0.0,-5.481038708182664,0.0,0.0,0.0,0.0,0.0,-97.30115064625565,0.0,0.0,0.0,0.0,0.0,203.43613168687637,1.0,0.0,0.0,0.0,0.0,0.0,-5.481038708182664,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.5700000000000003,0.0,0.0,198.3803472000171,1.0,0.0,0.0,0.0,0.0,0.0,-5.578448685926082,0.0,0.0,0.0,0.0,0.0,-97.27197329210107,0.0,0.0,0.0,0.0,0.0,203.3803472000171,1.0,0.0,0.0,0.0,0.0,0.0,-5.578448685926082,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.5800000000000003,0.0,0.0,198.32358886082378,1.0,0.0,0.0,0.0,0.0,0.0,-5.675833919333582,0.0,0.0,0.0,0.0,0.0,-97.24228008899962,0.0,0.0,0.0,0.0,0.0,203.32358886082378,1.0,0.0,0.0,0.0,0.0,0.0,-5.675833919333582,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.5900000000000003,0.0,0.0,198.26585692103407,1.0,0.0,0.0,0.0,0.0,0.0,-5.773193978969529,0.0,0.0,0.0,0.0,0.0,-97.21207156313643,0.0,0.0,0.0,0.0,0.0,203.26585692103407,1.0,0.0,0.0,0.0,0.0,0.0,-5.773193978969529,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.6000000000000003,0.0,0.0,198.20715163667563,1.0,0.0,0.0,0.0,0.0,0.0,-5.870528435844268,0.0,0.0,0.0,0.0,0.0,-97.1813482496878,0.0,0.0,0.0,0.0,0.0,203.20715163667563,1.0,0.0,0.0,0.0,0.0,0.0,-5.870528435844268,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.6100000000000003,0.0,0.0,198.14747326806142,1.0,0.0,0.0,0.0,0.0,0.0,-5.967836861421603,0.0,0.0,0.0,0.0,0.0,-97.1501106928012,0.0,0.0,0.0,0.0,0.0,203.14747326806142,1.0,0.0,0.0,0.0,0.0,0.0,-5.967836861421603,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.6200000000000003,0.0,0.0,198.08682207978515,1.0,0.0,0.0,0.0,0.0,0.0,-6.065118827626248,0.0,0.0,0.0,0.0,0.0,-97.11835944557481,0.0,0.0,0.0,0.0,0.0,203.08682207978515,1.0,0.0,0.0,0.0,0.0,0.0,-6.065118827626248,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.6300000000000003,0.0,0.0,198.02519834071663,1.0,0.0,0.0,0.0,0.0,0.0,-6.162373906851279,0.0,0.0,0.0,0.0,0.0,-97.0860950700367,0.0,0.0,0.0,0.0,0.0,203.02519834071663,1.0,0.0,0.0,0.0,0.0,0.0,-6.162373906851279,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.6400000000000003,0.0,0.0,197.96260232399698,1.0,0.0,0.0,0.0,0.0,0.0,-6.259601671965549,0.0,0.0,0.0,0.0,0.0,-97.05331813712388,0.0,0.0,0.0,0.0,0.0,202.96260232399698,1.0,0.0,0.0,0.0,0.0,0.0,-6.259601671965549,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.6500000000000004,0.0,0.0,197.89903430703376,1.0,0.0,0.0,0.0,0.0,0.0,-6.356801696321099,0.0,0.0,0.0,0.0,0.0,-97.02002922666075,0.0,0.0,0.0,0.0,0.0,202.89903430703376,1.0,0.0,0.0,0.0,0.0,0.0,-6.356801696321099,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.6600000000000004,0.0,0.0,197.83449457149615,1.0,0.0,0.0,0.0,0.0,0.0,-6.453973553760547,0.0,0.0,0.0,0.0,0.0,-96.98622892733746,0.0,0.0,0.0,0.0,0.0,202.83449457149615,1.0,0.0,0.0,0.0,0.0,0.0,-6.453973553760547,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.6700000000000004,0.0,0.0,197.7689834033099,1.0,0.0,0.0,0.0,0.0,0.0,-6.551116818624454,0.0,0.0,0.0,0.0,0.0,-96.95191783668785,0.0,0.0,0.0,0.0,0.0,202.7689834033099,1.0,0.0,0.0,0.0,0.0,0.0,-6.551116818624454,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.6800000000000004,0.0,0.0,197.7025010926523,1.0,0.0,0.0,0.0,0.0,0.0,-6.648231065758677,0.0,0.0,0.0,0.0,0.0,-96.91709656106704,0.0,0.0,0.0,0.0,0.0,202.7025010926523,1.0,0.0,0.0,0.0,0.0,0.0,-6.648231065758677,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
0.6900000000000004,0.0,0.0,197.6350479339471,1.0,0.0,0.0,0.0,0.0,0.0,-6.745315870521701,0.0,0.0,0.0,0.0,0.0,-96.88176571562876,0.0,0.0,0.0,0.0,0.0,202.6350479339471,1.0,0.0,0.0,0.0,0.0,0.0,-6.745315870521701,0.0,0.0,0.0,0.0,0.0,-19.62,0.0,0.0,0.0
